"12:05A ","12:06A","12:07A ","12:09A ","12:14A ","12:16A ","12:19A ","12:21A ","12:23A ","12:24A ","12:27A ","12:28A ","12:31A"
"8:00A ","8:01A ","8:02A ","8:04A ","8:09A ","8:11A ","8:14A ","8:16A ","8:18A ","8:19A ","8:22A ","8:23A ","8:26A"
"8:22A ","8:23A ","8:24A ","8:26A ","8:31A ","8:33A ","8:36A ","8:38A ","8:40A ","8:41A ","8:44A ","8:45A ","8:48A"
"8:51A ","8:52A ","8:53A ","8:55A ","9:00A ","9:02A ","9:05A ","9:07A ","9:09A ","9:10A ","9:13A ","9:14A ","9:17A"
"9:05A ","9:06A ","9:07A ","9:09A ","9:14A ","9:16A ","9:19A ","9:21A ","9:23A ","9:24A ","9:27A ","9:28A ","9:31A"
"9:28A ","9:29A ","9:30A ","9:32A ","9:37A ","9:39A ","9:42A ","9:44A ","9:46A ","9:47A ","9:50A ","9:51A ","9:54A"
"9:42A ","9:43A ","9:44A ","9:46A ","9:51A ","9:53A ","9:56A ","9:58A ","10:00A ","10:01A ","10:04A ","10:05A ","10:08A"
"9:55A ","9:56A ","9:57A ","9:59A ","10:04A ","10:06A ","10:09A ","10:11A ","10:13A ","10:14A ","10:17A ","10:18A ","10:21A"
"10:08A ","10:09A ","10:10A ","10:12A ","10:17A ","10:19A ","10:22A ","10:24A ","10:26A ","10:27A ","10:30A ","10:31A ","10:34A"
"10:22A ","10:23A ","10:24A ","10:26A ","10:31A ","10:33A ","10:36A ","10:38A ","10:40A ","10:41A ","10:44A ","10:45A ","10:48A"
"10:37A ","10:38A ","10:39A ","10:41A ","10:46A ","10:48A ","10:51A ","10:53A ","10:55A ","10:56A ","10:59A ","11:00A ","11:03A"
"10:52A ","10:53A ","10:54A ","10:56A ","11:01A ","11:03A ","11:06A ","11:08A ","11:10A ","11:11A ","11:14A ","11:15A ","11:18A"
"11:07A ","11:08A ","11:09A ","11:11A ","11:16A ","11:18A ","11:21A ","11:23A ","11:25A ","11:26A ","11:29A ","11:30A ","11:33A"
"11:22A ","11:23A ","11:24A ","11:26A ","11:31A ","11:33A ","11:36A ","11:38A ","11:40A ","11:41A ","11:44A ","11:45A ","11:48A"
"11:37A ","11:38A ","11:39A ","11:41A ","11:46A ","11:48A ","11:51A ","11:53A ","11:55A ","11:56A ","11:59A ","12:00P ","12:03P"
"11:52A ","11:53A ","11:54A ","11:56A ","12:01P ","12:03P ","12:06P ","12:08P ","12:10P ","12:11P ","12:14P ","12:15P ","12:18P"
"12:07P ","12:08P ","12:09P ","12:11P ","12:16P ","12:18P ","12:21P ","12:23P ","12:25P ","12:26P ","12:29P ","12:30P ","12:33P"
"12:22P ","12:23P ","12:24P ","12:26P ","12:31P ","12:33P ","12:36P ","12:38P ","12:40P ","12:41P ","12:44P ","12:45P ","12:48P"
"12:37P ","12:38P ","12:39P ","12:41P ","12:46P ","12:48P ","12:51P ","12:53P ","12:55P ","12:56P ","12:59P ","1:00P ","1:03P"
"12:52P ","12:53P ","12:54P ","12:56P ","1:01P ","1:03P ","1:06P ","1:08P ","1:10P ","1:11P ","1:14P ","1:15P ","1:18P"
"1:07P ","1:08P ","1:09P ","1:11P ","1:16P ","1:18P ","1:21P ","1:23P ","1:25P ","1:26P ","1:29P ","1:30P ","1:33P"
"1:22P ","1:23P ","1:24P ","1:26P ","1:31P ","1:33P ","1:36P ","1:38P ","1:40P ","1:41P ","1:44P ","1:45P ","1:48P"
"1:37P ","1:38P ","1:39P ","1:41P ","1:46P ","1:48P ","1:51P ","1:53P ","1:55P ","1:56P ","1:59P ","2:00P ","2:03P"
"1:52P ","1:53P ","1:54P ","1:56P ","2:01P ","2:03P ","2:06P ","2:08P ","2:10P ","2:11P ","2:14P ","2:15P ","2:18P"
"2:07P ","2:08P ","2:09P ","2:11P ","2:16P ","2:18P ","2:21P ","2:23P ","2:25P ","2:26P ","2:29P ","2:30P ","2:33P"
"2:22P ","2:23P ","2:24P ","2:26P ","2:31P ","2:33P ","2:36P ","2:38P ","2:40P ","2:41P ","2:44P ","2:45P ","2:48P"
"2:37P ","2:38P ","2:39P ","2:41P ","2:46P ","2:48P ","2:51P ","2:53P ","2:55P ","2:56P ","2:59P ","3:00P ","3:03P"
"2:52P ","2:53P ","2:54P ","2:56P ","3:01P ","3:03P ","3:06P ","3:08P ","3:10P ","3:11P ","3:14P ","3:15P ","3:18P"
"3:07P ","3:08P ","3:09P ","3:11P ","3:16P ","3:18P ","3:21P ","3:23P ","3:25P ","3:26P ","3:29P ","3:30P ","3:33P"
"3:22P ","3:23P ","3:24P ","3:26P ","3:31P ","3:33P ","3:36P ","3:38P ","3:40P ","3:41P ","3:44P ","3:45P ","3:48P"
"3:37P ","3:38P ","3:39P ","3:41P ","3:46P ","3:48P ","3:51P ","3:53P ","3:55P ","3:56P ","3:59P ","4:00P ","4:03P"
"3:52P ","3:53P ","3:54P ","3:56P ","4:01P ","4:03P ","4:06P ","4:09P ","4:11P ","4:12P ","4:15P ","4:16P ","4:19P"
"4:07P ","4:08P ","4:09P ","4:11P ","4:16P ","4:18P ","4:21P ","4:24P ","4:26P ","4:27P ","4:30P ","4:31P ","4:34P"
"4:20P ","4:21P ","4:22P ","4:24P ","4:29P ","4:31P ","4:34P ","4:37P ","4:39P ","4:40P ","4:43P ","4:44P ","4:47P"
"4:36P ","4:37P ","4:38P ","4:40P ","4:45P ","4:47P ","4:50P ","4:53P ","4:55P ","4:56P ","4:59P ","5:00P ","5:03P"
"","","","4:45P ","4:50P ","4:52P ","4:55P ","4:58P ","5:00P ","5:01P ","5:04P ","5:05P ","5:08P"
"4:44P ","4:45P ","4:46P ","4:48P ","4:53P ","4:55P ","4:58P ","5:01P ","5:03P ","5:04P ","5:07P ","5:08P ","5:11P"
"4:53P ","4:54P ","4:55P ","4:57P ","5:02P ","5:04P ","5:07P ","5:10P ","5:12P ","5:13P ","5:16P ","5:17P ","5:20P"
"5:08P ","5:09P ","5:10P ","5:12P ","5:17P ","5:19P ","5:22P ","5:25P ","5:27P ","5:28P ","5:31P ","5:32P ","5:35P"
"","","","5:17P ","5:22P ","5:24P ","5:27P ","5:30P ","5:32P ","5:33P ","5:36P ","5:37P ","5:40P"
"5:16P ","5:17P ","5:18P ","5:20P ","5:25P ","5:27P ","5:30P ","5:33P ","5:35P ","5:36P ","5:39P ","5:40P ","5:43P"
"5:20P ","5:21P ","5:22P ","5:24P ","5:29P ","5:31P ","5:34P ","5:37P ","5:39P ","5:40P ","5:43P ","5:44P ","5:47P"
"5:24P ","5:25P ","5:26P ","5:28P ","5:33P ","5:35P ","5:38P ","5:41P ","5:43P ","5:44P ","5:47P ","5:48P ","5:51P"
"5:29P ","5:30P ","5:31P ","5:33P ","5:38P ","5:40P ","5:43P ","5:46P ","5:48P ","5:49P ","5:52P ","5:53P ","5:56P"
"5:33P ","5:34P ","5:35P ","5:37P ","5:42P ","5:44P ","5:47P ","5:50P ","5:52P ","5:53P ","5:56P ","5:57P ","6:00P"
"5:37P ","5:38P ","5:39P ","5:41P ","5:46P ","5:48P ","5:51P ","5:54P ","5:56P ","5:57P ","6:00P ","6:01P ","6:04P"
"5:42P ","5:43P ","5:44P ","5:46P ","5:51P ","5:53P ","5:56P ","5:59P ","6:01P ","6:02P ","6:05P ","6:06P ","6:09P"
"","","","6:07P ","6:12P ","6:14P ","6:17P ","6:20P ","6:22P ","6:23P ","6:26P ","6:27P ","6:30P"
"6:07P ","6:08P ","6:09P ","6:11P ","6:16P ","6:18P ","6:21P ","6:24P ","6:26P ","6:27P ","6:30P ","6:31P ","6:34P"
"6:13P ","6:14P ","6:15P ","6:17P ","6:22P ","6:24P ","6:27P ","6:30P ","6:32P ","6:33P ","6:36P ","6:37P ","6:40P"
"6:18P ","6:19P ","6:20P ","6:22P ","6:27P ","6:29P ","6:32P ","6:34P ","6:36P ","6:37P ","6:40P ","6:41P ","6:44P"
"6:40P ","6:41P ","6:42P ","6:44P ","6:49P ","6:51P ","6:54P ","6:56P ","6:58P ","6:59P ","7:02P ","7:03P ","7:06P"
"6:55P ","6:56P ","6:57P ","6:59P ","7:04P ","7:06P ","7:09P ","7:11P ","7:13P ","7:14P ","7:17P ","7:18P ","7:21P"
"7:10P ","7:11P ","7:12P ","7:14P ","7:19P ","7:21P ","7:24P ","7:26P ","7:28P ","7:29P ","7:32P ","7:33P ","7:36P"
"7:23P ","7:24P ","7:25P ","7:27P ","7:32P ","7:34P ","7:37P ","7:39P ","7:41P ","7:42P ","7:45P ","7:46P ","7:49P"
"7:34P ","7:35P ","7:36P ","7:38P ","7:43P ","7:45P ","7:48P ","7:50P ","7:52P ","7:53P ","7:56P ","7:57P ","8:00P"
"7:52P ","7:53P ","7:54P ","7:56P ","8:01P ","8:03P ","8:06P ","8:08P ","8:10P ","8:11P ","8:14P ","8:15P ","8:18P"
"8:07P ","8:08P ","8:09P ","8:11P ","8:16P ","8:18P ","8:21P ","8:23P ","8:25P ","8:26P ","8:29P ","8:30P ","8:33P"
"8:22P ","8:23P ","8:24P ","8:26P ","8:31P ","8:33P ","8:36P ","8:38P ","8:40P ","8:41P ","8:44P ","8:45P ","8:48P"
"8:37P ","8:38P ","8:39P ","8:41P ","8:46P ","8:48P ","8:51P ","8:53P ","8:55P ","8:56P ","8:59P ","9:00P ","9:03P"
"8:52P ","8:53P ","8:54P ","8:56P ","9:01P ","9:03P ","9:06P ","9:08P ","9:10P ","9:11P ","9:14P ","9:15P ","9:18P"
"9:07P ","9:08P ","9:09P ","9:11P ","9:16P ","9:18P ","9:21P ","9:23P ","9:25P ","9:26P ","9:29P ","9:30P ","9:33P"
"9:22P ","9:23P ","9:24P ","9:26P ","9:31P ","9:33P ","9:36P ","9:38P ","9:40P ","9:41P ","9:44P ","9:45P ","9:48P"
"9:37P ","9:38P ","9:39P ","9:41P ","9:46P ","9:48P ","9:51P ","9:53P ","9:55P ","9:56P ","9:59P ","10:00P ","10:03P"
"9:52P ","9:53P ","9:54P ","9:56P ","10:01P ","10:03P ","10:06P ","10:08P ","10:10P ","10:11P ","10:14P ","10:15P ","10:18P"
"10:12P ","10:13P ","10:14P ","10:16P ","10:21P ","10:23P ","10:26P ","10:28P ","10:30P ","10:31P ","10:34P ","10:35P ","10:38P"
"10:32P ","10:33P ","10:34P ","10:36P ","10:41P ","10:43P ","10:46P ","10:48P ","10:50P ","10:51P ","10:54P ","10:55P ","10:58P"
"10:52P ","10:53P ","10:54P ","10:56P ","11:01P ","11:03P ","11:06P ","11:08P ","11:10P ","11:11P ","11:14P ","11:15P ","11:18P"
"11:12P ","11:13P ","11:14P ","11:16P ","11:21P ","11:23P ","11:26P ","11:28P ","11:30P ","11:31P ","11:34P ","11:35P ","11:38P"
"11:32P ","11:33P ","11:34P ","11:36P ","11:41P ","11:43P ","11:46P ","11:48P ","11:50P ","11:51P ","11:54P ","11:55P ","11:58P"
"11:45P ","11:46P ","11:47P ","11:49P ","11:54P ","11:56P ","11:59P ","12:01A ","12:03A ","12:04A ","12:07A ","12:08A ","12:11A"
